car_model,eng_display,cyl,transmission,mileage,yousavespend
Acura NSX,3.5,6,Auto(AM-S9),29.5,3000
ALFA ROMEO 4C,1.8,4,Auto(AM6),34.7,500
Aston Martin Lagonda Ltd V12 Vantage S,6,12,Auto(AM7),18.3,8000
Aston Martin Lagonda Ltd V12 Vantage S,6,12,Manual(M7),15.5,10500
Audi R8,5.2,10,Auto(AM-S7),21.2,5250
Audi R8 Spyder,5.2,10,Auto(AM-S7),21.2,5250
Audi TT Roadster quattro,2,4,Auto(AM-S6),33.5,0
Chevrolet CORVETTE,6.2,8,Auto(S8),20.6,6000
Chevrolet CORVETTE,6.2,8,Auto(S8),24.2,4000
Chevrolet CORVETTE,6.2,8,Manual(M7),22.8,4750
Chevrolet CORVETTE,6.2,8,Manual(M7),24.9,4000
Dodge Viper,8.4,10,Manual(M6),17.8,8000
Ferrari North America  Inc. 488 gtb,3.9,8,Auto(AM7),22.9,4750
Ferrari North America  Inc. 488 gtb,3.9,8,Auto(AM7),23.1,4750
Ferrari North America  Inc. 488 Spider,3.9,8,Auto(AM7),22.9,4750
Ferrari North America  Inc. 488 Spider,3.9,8,Auto(AM7),23.1,4750
Ferrari North America  Inc. F12 Berlinetta,6.3,12,Auto(AM7),16.7,9250
Ferrari North America  Inc. F12 Berlinetta,6.3,12,Auto(AM7),17,9250
Ferrari North America  Inc. F12 tdf,6.3,12,Auto(AM7),16.1,9250
Ferrari North America  Inc. F12 tdf,6.3,12,Auto(AM7),15.8,10500
Ferrari North America  Inc. LaFerrari Aperta,6.3,12,Auto(AM7),16.5,9250
FIAT 124 Spider,1.4,4,Auto(A6),39.9,250
FIAT 124 Spider,1.4,4,Manual(M6),40.5,0
Ford Ford GT,3.5,6,Auto(AM7),17.4,8000
Jaguar F-TYPE Convertible,3,6,Auto(S8),30.1,2250
Jaguar F-TYPE Convertible Manual,3,6,Manual(M6),24.3,4000
Jaguar F-TYPE Coupe,3,6,Auto(S8),30.1,2250
Jaguar F-TYPE Coupe Manual,3,6,Manual(M6),24.3,4000
Jaguar F-TYPE R AWD Convertible,5,8,Auto(S8),22.7,4750
Jaguar F-TYPE R AWD Coupe,5,8,Auto(S8),22.7,4750
Jaguar F-TYPE S AWD Convertible,3,6,Auto(S8),27.4,3000
Jaguar F-TYPE S AWD Coupe,3,6,Auto(S8),27.4,3000
Jaguar F-TYPE S Convertible,3,6,Auto(S8),28.8,2500
Jaguar F-TYPE S Convertible Manual,3,6,Manual(M6),23.7,4750
Jaguar F-TYPE S Coupe,3,6,Auto(S8),28.8,2500
Jaguar F-TYPE S Coupe Manual,3,6,Manual(M6),23.7,4750
Lamborghini Aventador Coupe,6.5,12,Auto(AM-S7),16.4,9250
Lamborghini Aventador Coupe LP740-4,6.5,12,Auto(AM-S7),15,10500
Lamborghini Aventador Roadster,6.5,12,Auto(AM-S7),15.8,9250
Lamborghini Aventador Roadster LP740-4,6.5,12,Auto(AM-S7),15,10500
Lamborghini Huracan,5.2,10,Auto(AM-S7),20.8,5250
Lamborghini Huracan 2WD,5.2,10,Auto(AM-S7),20.8,5250
Lamborghini Huracan Spyder,5.2,10,Auto(AM-S7),20.4,6000
Lamborghini Huracan Spyder 2WD,5.2,10,Auto(AM-S7),20.4,6000
MAZDA MX-5,2,4,Auto(S6),40.1,250
MAZDA MX-5,2,4,Manual(M6),40.4,250
McLaren 570GT,3.8,8,Auto(A7),24,4000
McLaren 570S Coupe,3.8,8,Auto(A7),24,4000
Mercedes-Benz AMG GT,4,8,Auto(AM7),23.9,4750
Mercedes-Benz AMG GT S,4,8,Auto(AM7),23.9,4750
Mercedes-Benz AMG SL 63,5.5,8,Auto(A7),24.1,4000
Mercedes-Benz AMG SL 65,6,12,Auto(A7),21,6000
Mercedes-Benz AMG SLC 43,3,6,Auto(A9),31.1,2250
Mercedes-Benz SL 450,3,6,Auto(A9),30.7,2250
Mercedes-Benz SL 550,4.7,8,Auto(A9),26.2,3500
Mercedes-Benz SLC 300,2,4,Auto(A9),37.2,750
Mercedes-Benz Smart fortwo (Convertible),0.9,3,Auto(AM6),49.5,0
Mercedes-Benz Smart fortwo (Convertible),0.9,3,Manual(M5),48,0
Mercedes-Benz Smart fortwo (COUPE),0.9,3,Auto(AM6),50.5,0
Mercedes-Benz Smart fortwo (COUPE),0.9,3,Manual(M5),48.2,0
NISSAN 370Z,3.7,6,Auto(S7),28.6,2500
NISSAN 370Z,3.7,6,Manual(M6),27.4,3000
NISSAN 370Z Roadster,3.7,6,Auto(S7),27,3000
NISSAN 370Z Roadster,3.7,6,Manual(M6),26.1,3500
Porsche Boxster,2,4,Auto(AM-S7),33.6,1500
Porsche Boxster,2,4,Manual(M6),32,1750
Porsche Boxster S,2.5,4,Auto(AM-S7),31.8,1750
Porsche Boxster S,2.5,4,Manual(M6),29.1,2500
Aston Martin Lagonda Ltd Vanquish  S and Zagato,6,12,Auto(S8),20.6,6000
Ferrari North America  Inc. California T,3.9,8,Auto(AM7),24,4000
Ferrari North America  Inc. California T,3.9,8,Auto(AM7),23.5,4750
Ferrari North America  Inc. GTC4Lusso,6.3,12,Auto(AM7),17,9250
Ferrari North America  Inc. GTC4Lusso,6.3,12,Auto(AM7),16.6,9250
FIAT 500,1.4,4,Auto(A6),46.9,250
FIAT 500,1.4,4,Auto(A6),36.7,750
FIAT 500,1.4,4,Manual(M5),46.7,0
FIAT 500,1.4,4,Manual(M5),40.8,0
FIAT 500 Abarth,1.4,4,Auto(A6),36.7,750
FIAT 500 Abarth,1.4,4,Manual(M5),40.8,0
Lotus Cars Ltd Evora,3.5,6,Auto(S6),25.2,3500
Lotus Cars Ltd Evora,3.5,6,Manual(M6),24.1,4000
Mini JOHN COOPER WORKS CONVERTIBLE,2,4,Auto(S6),37,750
Mini JOHN COOPER WORKS CONVERTIBLE,2,4,Manual(M6),34,1500
Mini MINI COOPER CONVERTIBLE,1.5,3,Auto(S6),41.2,0
Mini MINI COOPER CONVERTIBLE,1.5,3,Manual(M6),43.4,0
Mini Mini Cooper S Convertible,2,4,Auto(S6),38.3,500
Mini Mini Cooper S Convertible,2,4,Manual(M6),35.4,1000
Porsche 911 Carrera,3,6,Auto(AM-S7),33.4,1500
Porsche 911 Carrera,3,6,Manual(M7),30.8,2250
Porsche 911 Carrera 4,3,6,Auto(AM-S7),32.7,1750
Porsche 911 Carrera 4,3,6,Manual(M7),30.1,2250
Porsche 911 Carrera 4 Cabriolet,3,6,Auto(AM-S7),32,1750
Porsche 911 Carrera 4 Cabriolet,3,6,Manual(M7),29.6,2500
Porsche 911 Carrera 4 GTS,3,6,Auto(AM-S7),29.3,2500
Porsche 911 Carrera 4 GTS,3,6,Manual(M7),28.1,3000
Porsche 911 Carrera 4 GTS Cabriolet,3,6,Auto(AM-S7),29.1,2500
Porsche 911 Carrera 4 GTS Cabriolet,3,6,Manual(M7),27.7,3000
Porsche 911 Carrera 4S,3,6,Auto(AM-S7),31.6,1750
Porsche 911 Carrera 4S,3,6,Manual(M7),29.9,2250
Porsche 911 Carrera 4S Cabriolet,3,6,Auto(AM-S7),31.8,1750
Porsche 911 Carrera 4S Cabriolet,3,6,Manual(M7),29.5,2500
Porsche 911 Carrera Cabriolet,3,6,Auto(AM-S7),32.4,1750
Porsche 911 Carrera Cabriolet,3,6,Manual(M7),30.2,2250
Porsche 911 Carrera GTS,3,6,Auto(AM-S7),30,2250
Porsche 911 Carrera GTS,3,6,Manual(M7),27.7,3000
Porsche 911 Carrera GTS Cabriolet,3,6,Auto(AM-S7),29.3,2500
Porsche 911 Carrera GTS Cabriolet,3,6,Manual(M7),28,3000
Porsche 911 Carrera S,3,6,Auto(AM-S7),32.6,1750
Porsche 911 Carrera S,3,6,Manual(M7),30.1,2250
Porsche 911 Carrera S Cabriolet,3,6,Auto(AM-S7),32.3,1750
Porsche 911 Carrera S Cabriolet,3,6,Manual(M7),30,2250
Porsche 911 Targa 4,3,6,Auto(AM-S7),32.2,1750
Porsche 911 Targa 4,3,6,Manual(M7),29.6,2500
Porsche 911 Targa 4 GTS,3,6,Auto(AM-S7),28.9,2500
Porsche 911 Targa 4 GTS,3,6,Manual(M7),27.1,3000
Porsche 911 Targa 4S,3,6,Auto(AM-S7),31.4,1750
Porsche 911 Targa 4S,3,6,Manual(M7),29.5,2500
Porsche 911 Turbo,3.8,6,Auto(AM-S7),27.2,3000
Porsche 911 Turbo Cabriolet,3.8,6,Auto(AM-S7),27.2,3000
Porsche 911 Turbo S,3.8,6,Auto(AM-S7),27.2,3000
Porsche 911 Turbo S Cabriolet,3.8,6,Auto(AM-S7),27.2,3000
Subaru BRZ,2,4,Auto(S6),36.9,750
Subaru BRZ,2,4,Manual(M6),31.9,1750
TOYOTA 86,2,4,Auto(S6),36.9,750
TOYOTA 86,2,4,Manual(M6),32,1750
Aston Martin Lagonda Ltd Rapide S,6,12,Auto(S8),21.5,5250
Audi A3,2,4,Auto(AM-S7),38.7,0
Audi A3 Cabriolet,2,4,Auto(AM-S7),38,0
Audi A3 Cabriolet quattro,2,4,Auto(AM-S6),32,250
Audi A3 quattro,2,4,Auto(AM-S6),36.4,0
Audi A5 Cabriolet quattro,2,4,Auto(S8),31.4,1750
Audi A5 quattro,2,4,Auto(S8),32.7,1500
Audi A5 quattro,2,4,Manual(M6),33.7,1000
Audi S3,2,4,Auto(AM-S6),30.1,1750
Audi S5,3,6,Auto(AM-S7),26.9,3000
Audi S5,3,6,Manual(M6),24.4,3500
Audi S5 Cabriolet,3,6,Auto(AM-S7),26.4,3000
Audi TT Coupe quattro,2,4,Auto(AM-S6),33.5,0
Audi TTS Coupe,2,4,Auto(AM-S6),31.9,1500
Bentley Continental GT Convertible,4,8,Auto(S8),21.8,5250
Bentley Continental GT Convertible,6,12,Auto(S8),18.3,7000
BMW 230i Convertible,2,4,Auto(S8),36.8,750
BMW 230i Coupe,2,4,Auto(S8),37.6,500
BMW 230i Coupe,2,4,Manual(M6),32.9,1500
BMW 230i xDrive Convertible,2,4,Auto(S8),35.6,1000
BMW 230i xDrive Coupe,2,4,Auto(S8),36.6,750
BMW 430i Convertible,2,4,Auto(S8),36.8,750
BMW 430i xDrive Convertible,2,4,Auto(S8),34.6,1000
BMW 440i Convertible,3,6,Auto(S8),31.7,1750
BMW 440i xDrive Convertible,3,6,Auto(S8),31.5,1750
BMW 640i Convertible,3,6,Auto(S8),31,2250
BMW 640i Coupe,3,6,Auto(S8),31.9,1750
BMW 640i xDrive Convertible,3,6,Auto(S8),29.6,2500
BMW 640i xDrive Coupe,3,6,Auto(S8),29.6,2500
BMW 650i Convertible,4.4,8,Auto(S8),25.7,4000
BMW 650i Coupe,4.4,8,Auto(S8),25.7,4000
BMW 650i xDrive Convertible,4.4,8,Auto(S8),23.8,4750
BMW 650i xDrive Coupe,4.4,8,Auto(S8),24.7,4000
BMW M2,3,6,Auto(AM-S7),29.7,2500
BMW M2,3,6,Manual(M6),27.1,3000
BMW M240i Convertible,3,6,Auto(S8),33.5,1500
BMW M240i Convertible,3,6,Manual(M6),29.9,2250
BMW M240i Coupe,3,6,Auto(S8),33.5,1500
BMW M240i Coupe,3,6,Manual(M6),29.1,2500
BMW M240i xDrive Convertible,3,6,Auto(S8),33.2,1500
BMW M240i xDrive Coupe,3,6,Auto(S8),33.2,1500
BMW M4 Convertible,3,6,Auto(AM-S7),25.4,4000
BMW M4 Convertible,3,6,Manual(M6),26.4,3500
BMW M6 Convertible,4.4,8,Auto(AM-S7),20.6,6000
BMW M6 Convertible,4.4,8,Manual(M6),22.1,5250
BMW M6 Coupe,4.4,8,Auto(AM-S7),20.6,6000
BMW M6 Coupe,4.4,8,Manual(M6),22.1,5250
Buick CASCADA,1.6,4,Auto(S6),29.9,2250
Chevrolet CAMARO,2,4,Auto(S8),33.2,1500
Chevrolet CAMARO,2,4,Manual(M6),30.9,2250
Chevrolet CAMARO,3.6,6,Auto(S8),29.5,1250
Chevrolet CAMARO,3.6,6,Manual(M6),25.7,2250
Chevrolet CAMARO,6.2,8,Auto(S10),18.9,7000
Chevrolet CAMARO,6.2,8,Auto(S8),26.4,3500
Chevrolet CAMARO,6.2,8,Manual(M6),20.5,6000
Chevrolet CAMARO,6.2,8,Manual(M6),25.1,4000
Chevrolet SPARK,1.4,4,Auto(AV),45.9,0
Chevrolet SPARK,1.4,4,Manual(M5),45.4,0
Chevrolet SPARK ACTIV,1.4,4,Auto(AV),45.9,0
Chevrolet SPARK ACTIV,1.4,4,Manual(M5),45.4,0
Ford Fiesta FWD,1.6,4,Auto(AM-S6),42.7,0
Ford Fiesta FWD,1.6,4,Manual(M5),41.6,0
Ford Fiesta SFE FWD,1,3,Manual(M5),48.6,0
Ford MUSTANG,2.3,4,Auto(S6),32.9,750
Ford MUSTANG,2.3,4,Manual(M6),33.5,750
Ford MUSTANG,3.7,6,Auto(S6),28.4,1750
Ford MUSTANG,3.7,6,Manual(M6),27.2,1750
Ford MUSTANG,5,8,Auto(S6),24.5,3250
Ford MUSTANG,5,8,Manual(M6),23.7,3250
Ford MUSTANG CONVERTIBLE,2.3,4,Auto(S6),31.2,1000
Ford MUSTANG CONVERTIBLE,2.3,4,Manual(M6),33.5,1000
Ford MUSTANG CONVERTIBLE,5,8,Auto(S6),23.5,3250
Ford MUSTANG CONVERTIBLE,5,8,Manual(M6),23.7,3750
Ford MUSTANG PERFORMANCE PACKAGE,2.3,4,Auto(S6),32.9,1000
Ford MUSTANG PERFORMANCE PACKAGE,2.3,4,Manual(M6),33.5,750
Ford MUSTANG PERFORMANCE PACKAGE,5,8,Manual(M6),23.7,3750
Ford SHELBY GT350 MUSTANG,5.2,8,Manual(M6),20.8,6000
INFINITI Q60,2,4,Auto(S7),34.7,1500
INFINITI Q60,3,6,Auto(S7),29.7,2500
INFINITI Q60 AWD,2,4,Auto(S7),31.9,1750
INFINITI Q60 AWD,3,6,Auto(S7),29,2500
INFINITI Q60S AWD RED SPORT,3,6,Auto(S7),28.2,3000
INFINITI Q60S RED SPORT,3,6,Auto(S7),29.6,2500
LEXUS RC 200t,2,4,Auto(S8),34.6,1000
LEXUS RC 300 AWD,3.5,6,Auto(S6),28.2,3000
LEXUS RC 350,3.5,6,Auto(S8),29.3,2500
LEXUS RC 350 AWD,3.5,6,Auto(S6),28.2,3000
LEXUS RC F,5,8,Auto(S8),25.6,4000
MASERATI GRANTURISMO,4.7,8,Auto(A6),19.9,6000
MASERATI GRANTURISMO CONVERTIBLE,4.7,8,Auto(A6),19.9,7000
Mercedes-Benz AMG C 43 4MATIC  (convertible),3,6,Auto(A9),28.7,2500
Mercedes-Benz AMG C 43 4MATIC (coupe),3,6,Auto(A9),30.3,2250
Mercedes-Benz AMG C 63 (convertible),4,8,Auto(A7),24.7,4000
Mercedes-Benz AMG C 63 (coupe),4,8,Auto(A7),25.4,4000
Mercedes-Benz AMG C 63 S (convertible),4,8,Auto(A7),24.7,4000
Mercedes-Benz AMG C 63 S (coupe),4,8,Auto(A7),25.4,4000
Mercedes-Benz AMG S 63 4MATIC (convertible),5.5,8,Auto(A7),22.1,5250
Mercedes-Benz C 300 (convertible),2,4,Auto(A9),34.8,1000
Mercedes-Benz C 300 (Coupe),2,4,Auto(A7),34.3,1000
Mercedes-Benz C 300 4MATIC  (convertible),2,4,Auto(A9),32.9,1500
Mercedes-Benz C 300 4MATIC (Coupe),2,4,Auto(A7),33.6,1500
Mercedes-Benz E 400 (convertible),3,6,Auto(A7),31.2,2250
Mercedes-Benz E 400 (coupe),3,6,Auto(A7),31.1,2250
Mercedes-Benz E 400 4MATIC (coupe),3,6,Auto(A7),30.3,2250
Mercedes-Benz E 550 (convertible),4.7,8,Auto(A7),26.4,3500
Mercedes-Benz E 550 (coupe),4.7,8,Auto(A7),27.1,3000
Mercedes-Benz S 550 (convertible),4.7,8,Auto(A9),26,3500
Mercedes-Benz S 65 AMG (convertible),6,12,Auto(A7),20.6,6000
Mini JOHN COOPER WORKS HARDTOP,2,4,Auto(S6),38.3,500
Mini JOHN COOPER WORKS HARDTOP,2,4,Manual(M6),35.4,1000
Mini MINI COOPER HARDTOP 2 DOOR,1.5,3,Auto(S6),41.2,0
Mini MINI COOPER HARDTOP 2 DOOR,1.5,3,Manual(M6),43.3,0
Mini MINI COOPER HARDTOP 4 DOOR,1.5,3,Auto(S6),41.2,0
Mini MINI COOPER HARDTOP 4 DOOR,1.5,3,Manual(M6),43.4,0
Mini Mini Cooper S Hardtop 2 door,2,4,Auto(S6),38.3,500
Mini Mini Cooper S Hardtop 2 door,2,4,Manual(M6),35.4,1000
Mini Mini Cooper S Hardtop 4 door,2,4,Auto(S6),38.3,500
Mini Mini Cooper S Hardtop 4 door,2,4,Manual(M6),35.4,1000
NISSAN GT-R,3.8,6,Auto(AM6),23.6,4750
Roush Industries  Inc. Roush Stage 3 Mustang,5,8,Auto(S6),21.6,5250
Roush Industries  Inc. Roush Stage 3 Mustang,5,8,Manual(M6),19.9,6000
TOYOTA YARIS iA,1.5,4,Auto(S6),49.7,0
TOYOTA YARIS iA,1.5,4,Manual(M6),47.9,0
Volkswagen Beetle Convertible,1.8,4,Auto(S6),37,0
Volkswagen Beetle Dune Convertible,1.8,4,Auto(S6),35.9,0
Acura ILX,2.4,4,Auto(AM-S8),39,250
Acura TLX AWD,3.5,6,Auto(S9),33.4,1500
Acura TLX FWD,2.4,4,Auto(AM-S8),38.6,500
Acura TLX FWD,3.5,6,Auto(S9),35,1500
Audi A4,2,4,Auto(AM-S7),37.3,500
Audi A4 quattro,2,4,Auto(AM-S7),36.2,750
Audi A4 quattro,2,4,Manual(M6),34.9,750
Audi A4 Ultra,2,4,Auto(AM-S7),41.1,0
Audi Q3,2,4,Auto(S6),30,2250
Audi Q3 quattro,2,4,Auto(S6),29.5,2250
Bentley Continental GT,4,8,Auto(S8),23.7,4000
Bentley Continental GT,6,12,Auto(S8),19.5,7000
BMW 320i,2,4,Auto(S8),37.1,500
BMW 320i,2,4,Manual(M6),36.8,750
BMW 320i xDrive,2,4,Auto(S8),36,750
BMW 328d,2,4,Auto(S8),49.9,0
BMW 328d xDrive,2,4,Auto(S8),46.5,0
BMW 330i,2,4,Auto(S8),36.8,750
BMW 330i,2,4,Manual(M6),32.9,1500
BMW 330i xDrive,2,4,Auto(S8),35.6,1000
BMW 340i,3,6,Auto(S8),33.5,1500
BMW 340i,3,6,Manual(M6),29.9,2250
BMW 340i xDrive,3,6,Auto(S8),33.2,1500
BMW 340i xDrive,3,6,Manual(M6),30.1,2250
BMW 430i Coupe,2,4,Auto(S8),36.8,750
BMW 430i Coupe,2,4,Manual(M6),33.8,1500
BMW 430i Gran Coupe,2,4,Auto(S8),36.8,750
BMW 430i xDrive Coupe,2,4,Auto(S8),35.6,1000
BMW 430i xDrive Gran Coupe,2,4,Auto(S8),35.6,1000
BMW 440i Coupe,3,6,Auto(S8),33.5,1500
BMW 440i Coupe,3,6,Manual(M6),29.9,2250
BMW 440i Gran Coupe,3,6,Auto(S8),33.5,1500
BMW 440i xDrive Coupe,3,6,Auto(S8),33.2,1500
BMW 440i xDrive Coupe,3,6,Manual(M6),30.1,2250
BMW 440i xDrive Gran Coupe,3,6,Auto(S8),33.2,1500
BMW 640i Gran Coupe,3,6,Auto(S8),31,2250
BMW 640i xDrive Gran Coupe,3,6,Auto(S8),29.6,2500
BMW 650i Gran Coupe,4.4,8,Auto(S8),25.7,4000
BMW 650i xDrive Gran Coupe,4.4,8,Auto(S8),23.8,4750
